설치장소명,설치장소상세,설치시설구분,소재지도로명주소,위도,경도
큰엉(남원관광지구),화장실외벽 동,관광,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.273409,126.703757
큰엉(남원관광지구),화장실외벽 서,관광,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.273409,126.703757
송악산,화장실외벽 남,관광,제주특별자치도 서귀포시 대정읍 상모리 238,33.199104,126.293515
송악산,화장실외벽 북,관광,제주특별자치도 서귀포시 대정읍 상모리 238,33.199104,126.293515
기당미술관,매표소홀,관광,제주특별자치도 서귀포시 남성중로153번길 15,33.244669,126.551797
기당미술관,휴게실,관광,제주특별자치도 서귀포시 남성중로153번길 15,33.244669,126.551797
돈내코,야외무대화장실남,관광,제주특별자치도 서귀포시 돈내코로 120,33.300433,126.5842033
돈내코,야외무대화장실북,관광,제주특별자치도 서귀포시 돈내코로 120,33.300433,126.5842033
돈내코,원앙폭포 안전CCTV폴대,관광,제주특별자치도 서귀포시 돈내코로 120,33.300546,126.581741
돈내코,관리사무실 외벽 동,관광,제주특별자치도 서귀포시 돈내코로 120,33.3004184,126.5842033
돈내코,관리사무실 외벽 남,관광,제주특별자치도 서귀포시 돈내코로 120,33.3004184,126.5842033
돈내코,관리사무실 외벽 북,관광,제주특별자치도 서귀포시 돈내코로 120,33.3004184,126.5842033
서귀포감귤박물관,매표소홀,관광,제주특별자치도 서귀포시 효돈순환로 441,33.271539,126.607658
서귀포감귤박물관,본관홀,관광,제주특별자치도 서귀포시 효돈순환로 441,33.271539,126.607658
서귀포자연휴양림,동백동 옥상,관광,제주특별자치도 서귀포시 하원동 산1-1,33.311949,126.45911
서귀포자연휴양림,관리동 건물외벽 남,관광,제주특별자치도 서귀포시 하원동 산1-1,33.311458,126.458844
서귀포자연휴양림,관리동 건물외벽 동,관광,제주특별자치도 서귀포시 하원동 산1-1,33.311458,126.458844
서귀포자연휴양림,건물외벽 동쪽방향,관광,제주특별자치도 서귀포시 하원동 산1-1,33.312597,126.459548
서귀포자연휴양림,건물외벽 족구장방향,관광,제주특별자치도 서귀포시 하원동 산1-1,33.312597,126.459548
엉또폭포,화장실 남,관광,제주특별자치도 서귀포시 염돈로 121-6,33.265064,126.491984211
엉또폭포,화장실북,관광,제주특별자치도 서귀포시 염돈로 121-6,33.265064,126.491984211
예래생태체험관,건물외벽 2층옥상,관광,제주특별자치도 서귀포시 예래로 213,33.244486,126.390977
외돌개,어린이CCTV폴대1,관광,제주특별자치도 서귀포시 서홍동 784-4,33.240936,126.546826
외돌개,어린이CCTV폴대2,관광,제주특별자치도 서귀포시 서홍동 784-4,33.240936,126.546826
정방폭포,관광안내소 외벽,관광,제주특별자치도 서귀포시 동홍동 279-7,33.244836,126.573917
제주한란전시관,매표소홀,관광,제주특별자치도 서귀포시 돈내코로67번길 19,33.296253,126.590654
제주한란전시관,건물외벽,관광,제주특별자치도 서귀포시 돈내코로67번길 19,33.296253,126.590654
천제연폭포,매표소 건물외벽 동,관광,제주특별자치도 서귀포시 중문동 2232,33.252692,126.418437
천제연폭포,매표소 건물외벽 남,관광,제주특별자치도 서귀포시 중문동 2232,33.252692,126.418437
천제연폭포,매표소 건물외벽 북,관광,제주특별자치도 서귀포시 중문동 2232,33.252692,126.418437
섭지코지,상가관리사무실 외벽,관광,제주특별자치도 서귀포시 성산읍 고성리 62-1,33.423688,126.929771
혼인지,KT 전주 1-1,관광,제주특별자치도 서귀포시 성산읍 온평리 1702-1,33.414956,126.894949
혼인지,KT 전주 1-2,관광,제주특별자치도 서귀포시 성산읍 온평리 1702-1,33.414956,126.894949
혼인지,KT 전주 2,관광,제주특별자치도 서귀포시 성산읍 온평리 1702-1,33.414956,126.894949
산방산,산방산입구 매표소 가로등1,관광,제주특별자치도 서귀포시 안덕면 사계리 181-2,33.236719,126.31283
산방산,산방산입구 매표소 가로등2,관광,제주특별자치도 서귀포시 안덕면 사계리 181-2,33.236719,126.31283
산방산,용머리 2  매표소 외벽,관광,제주특별자치도 서귀포시 안덕면 사계리 116-7,33.233441,126.313742
성산일출봉,화장실 외벽 동,관광,제주특별자치도 서귀포시 성산읍 성산리 104-1,33.46292,126.937941
성산일출봉,화장실 외벽 남,관광,제주특별자치도 서귀포시 성산읍 성산리 104-1,33.46292,126.937941
성산일출봉,화장실 외벽 북,관광,제주특별자치도 서귀포시 성산읍 성산리 104-1,33.46292,126.937941
성산일출봉,화장실 외벽 동,관광,제주특별자치도 서귀포시 성산읍 성산리 114-3,33.46248,126.935222
성산일출봉,화장실 외벽 남,관광,제주특별자치도 서귀포시 성산읍 성산리 114-3,33.46248,126.935222
성산일출봉,매표소 옥상 남,관광,제주특별자치도 서귀포시 성산읍 성산리 114-3,33.46248,126.935222
성산일출봉,매표소 옥상 동,관광,제주특별자치도 서귀포시 성산읍 성산리 114-3,33.46248,126.935222
남원읍사무소[북] (남원포구입구 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 남원리 100-3,33.27937,126.719875
남원읍사무소[남] (씨사이드홈 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 남원리 99-13,33.279417,126.720518
남원환승정류장(남원읍사무소) (남원읍사무소방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 남원리 196-3,33.281241,126.720799
남원환승정류장(남원읍사무소) (비안동방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 남원리 211-2,33.281106,126.720998
의귀환승정류장(의귀초등학교)[서] (의귀서동네 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 의귀리 1483-10,33.310811,126.714838
의귀환승정류장(의귀초등학교)[동](의귀교회 앞 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 남원읍 의귀리 1503-2,33.310911,126.714982
대정환승정류장(대정읍사무소) (무릉리 사장동 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 대정읍 하모리 1443-4,33.226004,126.25178
대정환승정류장(대정읍사무소) (대정초교후문 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 대정읍 하모리 1417-4,33.225755,126.253203
하례환승정류장(하례리입구)[서] (서귀포산업과학고등학교 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 상효동 1122-5,33.299713,126.600592
하례환승정류장(하례리입구) (종점 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 상효동 1122-5,33.299703,126.600709
신산환승정류장(성산농협신산지점)[동] (신산리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 성산읍 신산리 1041-4,33.380259,126.876179
신산환승정류장(성산농협신산지점) (희진주유소 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 성산읍 신산리 1047-3,33.379872,126.875801
화순환승정류장(안덕농협)[남] (화순동취락지구 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 화순리 1079-4,33.246464,126.334979
화순환승정류장(안덕농협)[북] (화순리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 화순리 1074-11,33.246677,126.3355
동광환승정류장4(제주방면) (원물오름 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 824-1,33.31044,126.341096
동광환승정류장3(한림방면) (이시돌 삼거리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 825-3,33.310414,126.340654
동광환승정류장2(영어교육도시방면) (신화역사공원 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 942-5,33.310269,126.339681
동광환승정류장6(모슬포방면) (동광리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 943-4,33.309555,126.340262
동광환승정류장5(서귀방면) (테디밸리 골프앤리조트. 헬로키티 아일랜드 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 809-1,33.309754,126.340822
동광환승정류장1 (종점방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 안덕면 동광리 942-6,33.310269,126.339676
성읍환승정류장(성읍1리사무소) (성읍1리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 표선면 성읍리 666-6,33.389552,126.798319
성읍환승정류장(성읍1리사무소) (성읍농협 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 표선면 성읍리 668-5,33.389315,126.798544
표선환승정류장(표선면사무소)[서] (표선리 사거리 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 표선면 표선리 701-2,33.326721,126.832066
표선환승정류장(표선면사무소)[동] (표선중학교 방면),버스정류장 상부,교통시설,제주특별자치도 서귀포시 표선면 표선리 600-7,33.326721,126.832066
